SL_60_60_70,Refrigeration room
SL_60_80_25,Drying room
SL_70_10_82,Solar array
SL_70_10_91,Turbine room
SL_70_20_05,Auxiliary transformer equipment bay
SL_70_20_08,Bus coupler bay
SL_70_20_10,Bus section bay
SL_70_20_11,Cable sealing end bay
SL_70_20_13,Capacitor bank
SL_70_20_26,Earthing transformer bay
SL_70_20_27,Enclosed high-voltage switchgear room
SL_70_20_29,Electricity feeder bay
SL_70_20_30,Flexible a.c. transmission system (FACT) bay
SL_70_20_32,Grid battery bay
SL_70_20_33,Grid transformer bay
SL_70_20_35,High-voltage electricity substation chamber
SL_70_20_50,Main busbar section
SL_70_20_64,Power transformer equipment bay
SL_70_20_70,Reactor equipment bay
SL_70_20_72,Relay and control equipment bay
SL_70_20_83,Static VAR compensator bay
SL_70_20_85,Supergrid transformer bay
SL_70_20_86,Synchronous condenser bay
SL_70_20_89,Transmission cable section
SL_70_20_90,Transmission line span
SL_70_20_92,Underground transmission cable inspection and monitoring access point
SL_70_30_06,Battery room
SL_70_30_15,Combined switch and direct current (d.c.) distribution room
SL_70_30_22,Direct current (d.c.) distribution room
SL_70_30_26,Electrical distribution pedestal
SL_70_30_45,Low-voltage electricity substation chamber
SL_70_30_52,Metering room
SL_70_30_83,Substation bay
SL_70_30_92,Uninterruptible power supply room
SL_75_10_21,Communication equipment room
SL_75_10_23,Digital data transmission network
SL_75_10_70,Radio broadcast control booth
SL_75_10_73,Radio studio
SL_75_10_88,Telecommunication control space
SL_75_10_89,Telephone boxe and booth
SL_75_10_90,Telephone exchange space
SL_75_10_91,Television broadcast control booth
SL_75_10_93,Television studio
SL_75_30_80,Signal boxe
SL_75_40_28,Electronic security control room
SL_75_50_30,Exclusion zone
SL_75_50_33,Ga zone
SL_80_05_01,Aircraft apron bay
SL_80_05_02,Aeroplane landing strip
SL_80_05_03,Aeroplane runway
SL_80_05_04,Aircraft fuelling space
SL_80_05_05,Aircraft manoeuvring area
SL_80_05_06,Aircraft standing area
SL_80_05_07,Aircraft storage space
SL_80_05_33,Gliding runway
SL_80_05_37,Hang-gliding launch space
SL_80_05_38,Helipad
SL_80_05_82,Spacecraft landing strip
SL_80_05_84,Spacecraft launch pad
SL_80_10_06,Baggage claim area
SL_80_10_07,Baggage handling area
SL_80_10_09,Boarding area
SL_80_10_10,Bus stop
SL_80_10_12,Cargo handling area
SL_80_10_13,Cargo loading area
SL_80_10_16,Concourse
SL_80_10_20,Custom control area
SL_80_10_22,Departure lounge
SL_80_10_55,Passenger gate
SL_80_10_60,Passport control office
SL_80_10_77,Security screening area
SL_80_10_80,Ship gangway
SL_80_10_94,Vehicle drop-off area
SL_80_15_01,Aircraft cleaning space
SL_80_15_04,Aircraft repair space
SL_80_15_06,Airport control space
SL_80_15_79,Spacecraft cleaning space
SL_80_15_81,Spacecraft preparation space
SL_80_15_82,Spacecraft repair space
SL_80_20_13,Cableway
SL_80_30_34,Gondola repair and cleaning space
SL_80_30_35,Gondola storage space
SL_80_35_04,Arrestor bed
SL_80_35_08,Bus manoeuvring area
SL_80_35_09,Bus travel lane
SL_80_35_11,Car manoeuvring area
SL_80_35_13,Carriageway
SL_80_35_16,Central reservation
SL_80_35_17,Channelizing island
SL_80_35_18,Crossover space
SL_80_35_19,Cycle crossing
SL_80_35_20,Cycle lane
SL_80_35_22,Diversion route
SL_80_35_36,Hard shoulder
SL_80_35_37,Hard standing
SL_80_35_39,Highway pull-off
SL_80_35_40,Highway roundabout
SL_80_35_42,Intersection
SL_80_35_44,Junction
SL_80_35_45,Lane
SL_80_35_46,Lay-by and passing place
SL_80_35_57,Non-motorized use crossing
SL_80_35_59,Oxbow layby
SL_80_35_62,Pedestrian crossing
SL_80_35_63,Pedestrian route
SL_80_35_64,Pedestrian refuge and island
SL_80_35_66,Police ramp
SL_80_35_70,Railway crossing
SL_80_35_71,Refuge area
SL_80_35_72,Roadside rest area
SL_80_35_74,Road section
SL_80_35_75,Roundabout
SL_80_35_77,Roadside reservation
SL_80_35_78,Side road carriageway
SL_80_35_80,Slip road carriageway
SL_80_35_81,Soft shoulder
SL_80_35_87,Taxi rank
SL_80_35_90,Truck manoeuvring area
SL_80_35_94,Vaulted space
SL_80_40_15,Covered path
SL_80_40_60,Path
SL_80_45_01,Accessible parking space
SL_80_45_09,Bus standing space
SL_80_45_11,Car park attendant booth
SL_80_45_13,Car park ramp
SL_80_45_15,Cycle parking space
SL_80_45_40,Indoor vehicle parking space
SL_80_45_59,Outdoor vehicle parking space
SL_80_45_91,Truck standing space
SL_80_50_11,Carriage cleaning space
SL_80_50_24,Double-sided platform
SL_80_50_26,Engine fuelling area
SL_80_50_27,Engine inspection pit
SL_80_50_28,Engine servicing area
SL_80_50_29,Engine wash area
SL_80_50_44,Railway junction
SL_80_50_47,Light rail stop
SL_80_50_50,Marshalling yard
SL_80_50_58,Railway overpass
SL_80_50_70,Rail repair space
SL_80_50_71,Railway side reservation
SL_80_50_72,Railway line
SL_80_50_74,Railway section
SL_80_50_76,Railway siding
SL_80_50_77,Railway signal control space
SL_80_50_78,Rolling stock inspection space
SL_80_50_79,Signalling equipment room
SL_80_50_80,Single-sided platform
SL_80_50_85,Stabling yard
SL_80_50_88,Track paralleling hut
